"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-308",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113665706204764,-2.19985876234813,0.00139405908220106,0.00991035884795522,0.000375869854168931,-2.19287513787232,0.0012970988754527,0.014357737525931,0.000640025327160882,-2.20077017350062,0.00426170484091613,0.00930220387584827,0.0010534557835127,-2.19833166285708,0.00262970750323527,0.0088589204687117,0.000854931781715863
"11422-309",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.11371661858323,-2.20080544099755,0.00140891031345695,0.0106313532157039,0.000390898217713866,-2.19214733137101,0.00130348402918212,0.0146694894944072,0.000673464260083499,-2.2036716201532,0.00466432935204551,0.00932356761011014,0.0012200000419147,-2.2009742173799,0.00312910941127538,0.0105216366843258,0.00109555405752343
"11422-310",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113544099564334,-2.20277192737379,0.0014373865627141,0.0107102351011855,0.0004029483571554,-2.19481080506198,0.00132637016279346,0.0150685057540051,0.000677502318031247,-2.19801828971219,0.00481071956699207,0.0082961991162912,0.00154116505082268,-2.20071304637824,0.0030561219347428,0.00955751583998959,0.000830547369651788
"11422-311",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113516418669124,-2.2004485194243,0.00142320270835473,0.00991828538308,0.000404476622825778,-2.19369504102814,0.00131144608493601,0.0140901813824874,0.000664142427559941,-2.20039444901577,0.00452228232420368,0.0106955568700443,0.00115847551981924,-2.19957888876568,0.00302975823338085,0.00901957630544248,0.00101782991401446
"11422-312",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113465454281296,-2.20221044684514,0.00141276384510245,0.0103636392120772,0.000395000768244222,-2.19542484983558,0.00132311014988689,0.0157116659944641,0.000705083823076144,-2.21253334020944,0.00457157911776226,0.0124016437884695,0.00119358829554692,-2.20627661137401,0.0032905403241113,0.0119571141438706,0.00121075315703926
"11422-313",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113569915427632,-2.20055202683897,0.00142305153778457,0.00991429017036052,0.000395011822813595,-2.19414271242506,0.0013539641743944,0.0151700709522561,0.000732141534111956,-2.19936885314217,0.00446865752494188,0.00970544467240697,0.00118169456718753,-2.2015611355135,0.00322396890583102,0.010193877748316,0.00109170247783272
"11422-314",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113753512131042,-2.19965092526739,0.00143340484345002,0.0103203116145477,0.000405855748696003,-2.19146111281803,0.00129571953061504,0.0141342159469112,0.000653216158067648,-2.20295126804749,0.00449335468815259,0.0111628529783688,0.00118036121496572,-2.19994026827551,0.00271827155241556,0.0106810478772742,0.000956984251803746
"11422-315",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113696810996831,-2.20097049959375,0.00142172558834669,0.010536327662342,0.000394476016549302,-2.19392159358372,0.00130499193506129,0.0151326095162589,0.000638879052240524,-2.19353580397792,0.00462474544412854,0.00954983137725719,0.00149175245698263,-2.2002301690099,0.0021812990729844,0.0104281122188633,0.000714508023739714
"11422-316",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113873348556394,-2.19835389251746,0.00140797789933991,0.0100916473125733,0.000386408459693843,-2.19038958556623,0.00130850626306195,0.0140078968627559,0.00066362904900986,-2.19582633194425,0.00423137900530827,0.00893892381102418,0.00112444864522603,-2.19728990554712,0.00213835135989305,0.00992356150768892,0.000699516670646095
"11422-317",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113686782777721,-2.19983286348348,0.0013759749943855,0.0101645166261274,0.000373597185486453,-2.19323066222641,0.0013048375883074,0.0146370724999183,0.000645326307223377,-2.20452310608897,0.00411799740189658,0.0115284181079379,0.000977389852547526,-2.19917747228219,0.00270774874224282,0.00988945845338722,0.000828864682860597
