"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"500",37,57,60304,3445,35.922229,-80.300525
"501",37,57,60400,5533,35.893085,-80.241513
"502",37,57,60500,5499,35.878246,-80.141095
"503",37,57,60601,4342,35.923546,-80.08351
"504",37,57,60602,2563,35.936657,-80.058193
"505",37,57,60700,4915,35.895141,-80.072299
"506",37,57,60800,4538,35.886577,-80.101694
"507",37,57,60900,5471,35.869179,-80.092067
"508",37,57,61000,5158,35.884765,-80.062301
"509",37,57,61100,6744,35.840578,-80.082828
"510",37,57,61201,5844,35.844821,-80.254079
"511",37,57,61202,2857,35.863543,-80.294812
"512",37,57,61300,2176,35.828459,-80.258998
"513",37,57,61400,3398,35.820135,-80.239643
"514",37,57,61500,6214,35.802624,-80.259138
"515",37,57,61600,2926,35.815696,-80.276173
"516",37,57,61701,4857,35.804836,-80.32505
"517",37,57,61702,6730,35.820331,-80.385277
"518",37,57,61703,4349,35.779327,-80.377974
"519",37,57,61802,6740,35.744983,-80.214372
"520",37,57,61803,3503,35.765609,-80.282758
"521",37,57,61804,6536,35.691116,-80.280905
"522",37,57,61901,6301,35.801786,-80.124925
"523",37,57,61902,5308,35.753409,-80.129469
"524",37,57,62001,4677,35.635133,-80.164422
"525",37,57,62002,4021,35.624157,-80.109805
"526",37,59,80100,7745,35.944726,-80.635305
"527",37,59,80200,5207,36.012871,-80.490556
"528",37,59,80300,8657,35.977941,-80.447771
"529",37,59,80400,5151,35.907137,-80.439526
"530",37,59,80500,4428,35.900764,-80.536268
"531",37,59,80600,3659,35.9098,-80.571327
"532",37,59,80700,6393,35.828773,-80.536416
"533",37,61,90100,10062,35.118637,-77.898112
"534",37,61,90200,4341,35.111388,-78.106498
"535",37,61,90300,5783,35.001344,-78.084405
"536",37,61,90400,5962,34.961842,-77.961321
"537",37,61,90501,5518,34.968037,-77.767064
"538",37,61,90502,4608,34.895116,-77.769781
"539",37,61,90600,3541,34.794886,-77.768966
"540",37,61,90701,3933,34.79588,-77.924198
"541",37,61,90702,6346,34.745235,-77.996757
"542",37,61,90801,3220,34.882523,-78.077651
"543",37,61,90802,5191,34.804959,-78.043298
"544",37,63,101,3152,36.026925,-78.887119
"545",37,63,102,4535,36.028517,-78.904918
"546",37,63,200,2946,36.008003,-78.891972
"547",37,63,301,2504,36.01628,-78.914328
"548",37,63,302,3426,36.0103,-78.905038
"549",37,63,401,2523,36.021113,-78.927543
"550",37,63,402,1963,36.01195,-78.925732
"551",37,63,500,4093,35.996395,-78.921546
"552",37,63,600,5177,35.983187,-78.93096
"553",37,63,700,2830,35.9811,-78.915223
"554",37,63,900,1668,36.000115,-78.886247
"555",37,63,1001,3466,35.986415,-78.876627
"556",37,63,1002,5974,35.997158,-78.871023
"557",37,63,1100,3225,35.990722,-78.890295
"558",37,63,1301,1128,35.980051,-78.899477
"559",37,63,1303,3676,35.973398,-78.900498
"560",37,63,1304,2557,35.966356,-78.911051
"561",37,63,1400,2609,35.975166,-78.888307
"562",37,63,1501,3070,36.002767,-78.938979
"563",37,63,1502,5986,36.010065,-78.94706
"564",37,63,1503,1941,36.006958,-78.915681
"565",37,63,1601,5806,36.09122,-78.892042
"566",37,63,1603,6271,36.1068,-78.929352
"567",37,63,1604,6645,36.08491,-78.954531
"568",37,63,1705,4519,36.037932,-78.92509
"569",37,63,1706,4179,36.019185,-78.965323
"570",37,63,1707,6485,36.045924,-78.961562
"571",37,63,1708,3989,36.065172,-78.889976
"572",37,63,1709,6109,36.042258,-78.886804
"573",37,63,1710,4705,36.054921,-78.914357
