"TractFIPS","CountyName","POP","DIABETES","OBESITY"
37067001700,"Forsyth",5231,764,2140
37067001800,"Forsyth",4207,762,1839
37067001901,"Forsyth",1549,265,698
37067001902,"Forsyth",1917,221,693
37067002001,"Forsyth",2367,415,1042
37067002002,"Forsyth",3072,437,1196
37067002100,"Forsyth",2151,196,614
37067002200,"Forsyth",3742,259,1000
37067002501,"Forsyth",2590,190,643
37067002502,"Forsyth",2770,236,707
37067002601,"Forsyth",2481,224,643
37067002603,"Forsyth",6553,564,1855
37067002604,"Forsyth",6441,580,1984
37067002701,"Forsyth",5864,687,2229
37067002702,"Forsyth",5675,812,2163
37067002703,"Forsyth",6039,550,1945
37067002801,"Forsyth",4236,403,1292
37067002804,"Forsyth",4150,474,1445
37067002806,"Forsyth",3274,498,1277
37067002807,"Forsyth",5031,549,1681
37067002808,"Forsyth",3531,325,1085
37067002809,"Forsyth",2238,218,670
37067002901,"Forsyth",4784,622,1756
37067002903,"Forsyth",3828,517,1379
37067002904,"Forsyth",2151,246,717
37067003002,"Forsyth",3932,547,1436
37067003003,"Forsyth",3272,324,1070
37067003004,"Forsyth",3618,351,1097
37067003103,"Forsyth",5468,427,1603
37067003105,"Forsyth",3649,376,1223
37067003106,"Forsyth",3099,289,967
37067003107,"Forsyth",4391,426,1388
37067003108,"Forsyth",3495,451,1287
37067003201,"Forsyth",4774,516,1547
37067003202,"Forsyth",3904,407,1289
37067003307,"Forsyth",3405,293,1025
37067003308,"Forsyth",7880,615,2357
37067003309,"Forsyth",4956,600,1904
37067003310,"Forsyth",4061,370,1397
37067003311,"Forsyth",1926,149,592
37067003312,"Forsyth",2692,229,813
37067003313,"Forsyth",1458,177,493
37067003314,"Forsyth",3171,257,942
37067003315,"Forsyth",3424,336,1076
37067003402,"Forsyth",2182,225,686
37067003403,"Forsyth",3412,366,1355
37067003404,"Forsyth",3917,682,1822
37067003500,"Forsyth",6562,919,2697
37067003600,"Forsyth",5968,567,1964
37067003701,"Forsyth",4830,474,1812
37067003702,"Forsyth",4514,425,1495
37067003703,"Forsyth",6032,447,1889
37067003803,"Forsyth",4567,430,1412
37067003804,"Forsyth",4100,390,1185
37067003805,"Forsyth",5573,558,1823
37067003806,"Forsyth",3012,275,931
37067003903,"Forsyth",4477,475,1635
37067003904,"Forsyth",5907,509,1684
37067003905,"Forsyth",3607,303,1014
37067003906,"Forsyth",3436,303,884
37067003908,"Forsyth",3085,253,812
37067003909,"Forsyth",4356,340,1177
